Date,Open,High,Low,Close,Volume,Status
2021-11-02,205.52,208.47,203.18,206.56,2991342,ok
2021-11-03,207.49,217.13,206.72,215.78,3378886,ok
2021-11-04,215.99,219.43,215.0,219.26,2326381,ok
2021-11-05,220.0,224.79,219.945,224.25,2835945,ok
2021-11-08,223.6629,227.5,221.26,223.08,3829726,ok
2021-11-09,223.24,223.38,218.34,221.05,1625224,ok
2021-11-10,218.46,220.185,212.77,214.22,2262187,ok
2021-11-11,223.26,223.34,214.15,219.1,4639660,ok
2021-11-12,219.58,220.54,214.41,217.82,2828996,ok
2021-11-15,221.0,221.0,215.19,215.68,2003327,ok
2021-11-16,215.2,219.97,214.4,219.26,1497233,ok
2021-11-17,219.26,219.26,215.67,217.81,1376544,ok
2021-11-18,218.76,220.67,216.36,220.58,2495127,ok
2021-11-19,220.58,221.81,219.64,221.26,2124255,ok
2021-11-22,222.31,225.6615,219.44,221.87,2846054,ok
2021-11-23,221.41,224.09,215.57,219.12,2070018,ok
2021-11-24,216.6,221.22,214.32,221.03,1631247,ok
2021-11-26,213.12,217.56,210.25,212.45,1776506,ok
2021-11-29,216.75,224.26,215.1,223.94,2412931,ok
2021-11-30,222.7,227.815,218.3,223.36,5141720,ok
2021-12-01,227.34,234.6799,222.71,223.0,3223503,ok
2021-12-02,220.27,225.9,218.18,222.73,1934818,ok
2021-12-03,225.0,228.455,221.56,227.12,2743793,ok
2021-12-06,227.8,228.309,217.43,224.28,2223768,ok
2021-12-07,228.99,239.91,228.0,238.9,2934410,ok
2021-12-08,229.01,229.8,221.09,228.09,3880058,ok
2021-12-09,225.35,228.56,224.75,225.16,1990848,ok
2021-12-10,228.56,228.88,223.03,226.46,1751518,ok
2021-12-13,228.3776,228.3776,220.06,221.79,1966590,ok
2021-12-14,218.91,221.63,216.75,219.99,1687336,ok
2021-12-15,221.34,229.62,218.775,229.38,2565658,ok
2021-12-16,228.84,229.31,217.65,217.95,3223834,ok
2021-12-17,216.235,222.54,214.45,218.71,4671428,ok
2021-12-20,215.49,219.685,214.6101,217.65,1336333,ok
2021-12-21,221.55,224.7,219.05,224.37,1603774,ok
2021-12-22,223.05,226.88,221.71,226.76,1057962,ok
2021-12-23,226.76,229.185,226.26,227.35,920491,ok
2021-12-27,228.65,232.85,227.6,232.78,1235993,ok
2021-12-28,233.81,234.42,228.58,231.02,1362273,ok
2021-12-29,230.39,233.37,229.9,230.52,1116978,ok
2021-12-30,230.53,232.6,228.3,228.6,886359,ok
2021-12-31,229.15,231.5,227.35,227.78,1023020,ok
2022-01-03,228.39,233.37,228.07,231.22,1519604,ok
2022-01-04,232.41,234.9,225.455,232.87,1964983,ok
2022-01-05,231.75,234.28,224.26,224.57,1963533,ok
2022-01-06,225.5,228.76,224.11,226.96,1957799,ok
2022-01-07,228.0,229.99,219.88,221.33,1760182,ok
2022-01-10,220.05,222.14,214.7,221.83,1926494,ok
2022-01-11,222.67,227.75,220.755,227.54,1755379,ok
2022-01-12,229.06,231.4,225.86,229.02,1262999,ok
2022-01-13,231.99,232.36,220.6,221.86,2910990,ok
2022-01-14,218.71,225.39,218.07,225.29,1722896,ok
2022-01-18,220.0,221.165,216.7425,217.42,2349413,ok
2022-01-19,217.94,220.45,210.78,210.95,1888253,ok
2022-01-20,208.0,211.77,199.41,199.61,2885044,ok
2022-01-21,197.33,207.73,196.8,199.95,3812039,ok
2022-01-24,195.83,203.47,188.07,203.07,3739096,ok
2022-01-25,197.2,199.875,193.39,194.77,3855581,ok
2022-01-26,200.45,205.25,193.54,196.96,3470576,ok
2022-01-27,200.8738,201.02,186.39,187.96,3786899,ok
2022-01-28,186.48,189.53,180.12,189.45,4949076,ok
2022-01-31,190.39,205.9,190.0,205.44,5679858,ok
2022-02-01,208.99,210.99,200.01,208.2,4066217,ok
2022-02-02,209.63,211.8336,205.6849,210.35,2863864,ok
2022-02-03,206.72,208.7999,197.8,198.34,4263591,ok
2022-02-04,196.97,200.11,190.79,198.12,3205417,ok
2022-02-07,198.4,201.91,196.06,196.92,2169490,ok
2022-02-08,197.29,203.32,196.085,202.53,2306046,ok
2022-02-09,205.49,210.0,200.5,209.76,3113012,ok
2022-02-10,204.36,209.62,198.13,199.05,2466782,ok
2022-02-11,200.01,200.97,185.18,186.74,3738556,ok
2022-02-14,187.84,191.67,183.97,185.88,2040009,ok
2022-02-15,190.5,196.9,189.21,196.62,2810008,ok
2022-02-16,195.45,200.64,193.0,199.66,1969413,ok
2022-02-17,196.4,197.45,187.39,187.61,2763054,ok
2022-02-18,188.77,190.14,185.19,187.09,2691821,ok
2022-02-22,185.18,191.605,183.91,187.24,2361659,ok
2022-02-23,190.48,194.6,185.03,185.15,2612345,ok
2022-02-24,179.12,191.73,178.305,191.42,3208633,ok
2022-02-25,190.49,194.32,185.58,194.2,2058741,ok
2022-02-28,191.43,192.73,186.73,190.12,2741126,ok
2022-03-01,189.61,189.985,179.23,181.18,2997848,ok
2022-03-02,183.02,190.47,182.63,188.35,3191781,ok
2022-03-03,189.42,189.92,184.05,184.7,2591638,ok
2022-03-04,182.48,183.23,174.1612,176.45,3190789,ok
2022-03-07,177.785,179.1,169.55,169.72,2992458,ok
2022-03-08,170.62,185.44,168.74,176.9,4006618,ok
2022-03-09,183.0,186.27,182.2,183.35,3108923,ok
2022-03-10,179.24,181.32,175.82,180.5,1899207,ok
2022-03-11,183.98,185.27,178.16,178.56,2176907,ok
2022-03-14,178.38,179.64,170.22,171.71,2515948,ok
2022-03-15,172.86,179.03,172.71,178.44,2183095,ok
2022-03-16,181.37,188.42,178.18,188.32,2846085,ok
2022-03-17,187.03,190.32,185.14,189.77,1488967,ok
2022-03-18,187.51,192.85,184.68,192.42,3132082,ok
2022-03-21,190.87,193.23,186.53,190.51,1895251,ok
2022-03-22,189.95,192.19,187.51,187.75,2797117,ok
2022-03-23,185.05,188.54,183.44,183.59,1865360,ok
2022-03-24,188.2,191.38,184.25,191.08,2320544,ok
2022-03-25,191.58,191.84,186.4,190.46,1768614,ok
2022-03-28,188.38,190.11,183.99,189.42,2490428,ok
2022-03-29,193.38,196.352,190.72,194.74,2083094,ok
2022-03-30,192.76,194.39,186.2301,187.33,1922403,ok
2022-03-31,188.45,189.28,184.76,185.08,2627237,ok
2022-04-01,187.12,187.12,179.15,182.02,2417287,ok
2022-04-04,181.72,184.75,180.68,182.61,1844316,ok
2022-04-05,180.4,181.18,172.78,175.07,4235069,ok
2022-04-06,170.845,177.25,169.78,174.02,3754899,ok
2022-04-07,172.51,175.56,169.44,172.92,2016251,ok
2022-04-08,170.52,170.72,165.26,167.5,5746516,ok
2022-04-11,165.43,168.1568,164.75,165.52,3346946,ok
2022-04-12,169.83,170.47,165.08,166.23,3138920,ok
2022-04-13,167.51,171.355,165.63,171.03,2922829,ok
2022-04-14,171.26,172.51,168.79,170.0,2698294,ok
2022-04-18,169.7,176.73,169.15,173.25,2138362,ok
2022-04-19,170.225,179.28,170.225,178.65,2979308,ok
2022-04-20,180.67,185.28,178.37,178.79,2685040,ok
2022-04-21,181.26,183.22,174.36,174.85,2346331,ok
2022-04-22,174.76,175.33,170.015,170.75,2165393,ok
2022-04-25,169.96,173.5,169.01,172.84,2781896,ok
2022-04-26,169.98,170.96,167.36,167.75,3369815,ok
2022-04-27,166.645,172.41,165.67,170.76,3341974,ok
2022-04-28,172.06,179.43,170.31,177.25,3107041,ok
2022-04-29,174.47,178.11,170.64,170.9,2892924,ok
2022-05-02,172.26,177.62,170.255,177.0,2776166,ok
2022-05-03,173.76,179.295,171.975,176.69,2072477,ok
