Date,Open,High,Low,Close,Volume,Status
2021-10-18,143.445,146.84,143.16,146.55,85589175,ok
2021-10-19,147.01,149.17,146.55,148.76,76378894,ok
2021-10-20,148.7,149.7539,148.12,149.26,58418788,ok
2021-10-21,148.81,149.64,147.87,149.48,61420990,ok
2021-10-22,149.69,150.18,148.64,148.69,58883443,ok
2021-10-25,148.68,149.37,147.6211,148.64,50720556,ok
2021-10-26,149.33,150.84,149.0101,149.32,60893395,ok
2021-10-27,149.36,149.73,148.49,148.85,56094929,ok
2021-10-28,149.82,153.165,149.72,152.57,100077888,ok
2021-10-29,147.215,149.94,146.4128,149.8,124953168,ok
2021-11-01,148.985,149.7,147.8,148.96,74588258,ok
2021-11-02,148.66,151.57,148.65,150.02,69121987,ok
2021-11-03,150.39,151.97,149.82,151.49,54511534,ok
2021-11-04,151.58,152.43,150.64,150.96,60394616,ok
2021-11-05,151.89,152.2,150.06,151.28,65463883,ok
2021-11-08,151.41,151.57,150.16,150.44,55020868,ok
2021-11-09,150.2,151.428,150.0601,150.81,56787930,ok
2021-11-10,150.02,150.13,147.85,147.92,65187092,ok
2021-11-11,148.96,149.43,147.681,147.87,40999950,ok
2021-11-12,148.43,150.4,147.48,149.99,63804008,ok
2021-11-15,150.37,151.88,149.43,150.0,59222803,ok
2021-11-16,149.94,151.488,149.34,151.0,59256210,ok
2021-11-17,150.995,155.0,150.99,153.49,88807000,ok
2021-11-18,153.71,158.67,153.05,157.87,137827673,ok
2021-11-19,157.65,161.02,156.5328,160.55,117305597,ok
2021-11-22,161.68,165.7,161.0,161.02,117467889,ok
2021-11-23,161.12,161.8,159.0601,161.41,96041899,ok
2021-11-24,160.75,162.14,159.64,161.94,69463623,ok
2021-11-26,159.565,160.45,156.36,156.81,76959752,ok
2021-11-29,159.37,161.19,158.7901,160.24,88748217,ok
2021-11-30,159.985,165.52,159.92,165.3,174048056,ok
2021-12-01,167.48,170.3,164.53,164.77,152423003,ok
2021-12-02,158.735,164.2,157.8,163.76,136739174,ok
2021-12-03,164.02,164.96,159.72,161.84,118023116,ok
2021-12-06,164.29,167.8799,164.28,165.32,107496982,ok
2021-12-07,169.08,171.58,168.34,171.18,120405352,ok
2021-12-08,172.125,175.96,170.7,175.08,116998901,ok
2021-12-09,174.91,176.75,173.92,174.56,108923739,ok
2021-12-10,175.205,179.63,174.69,179.45,115402731,ok
2021-12-13,181.115,182.13,175.53,175.74,153237019,ok
2021-12-14,175.25,177.74,172.21,174.33,139380382,ok
2021-12-15,175.11,179.5,172.3108,179.3,131063257,ok
2021-12-16,179.28,181.14,170.75,172.26,150185843,ok
2021-12-17,169.93,173.47,169.69,171.14,195923441,ok
2021-12-20,168.28,170.58,167.46,169.75,107499114,ok
2021-12-21,171.555,173.2,169.12,172.99,91185905,ok
2021-12-22,173.04,175.86,172.15,175.64,92135303,ok
2021-12-23,175.85,176.8499,175.27,176.28,68356567,ok
2021-12-27,177.085,180.42,177.07,180.33,74919582,ok
2021-12-28,180.16,181.33,178.53,179.29,79144339,ok
2021-12-29,179.33,180.63,178.14,179.38,62348931,ok
2021-12-30,179.47,180.57,178.09,178.2,59773014,ok
2021-12-31,178.085,179.23,177.26,177.57,64062261,ok
2022-01-03,177.83,182.88,177.71,182.01,104701220,ok
2022-01-04,182.63,182.94,179.12,179.7,99310438,ok
2022-01-05,179.61,180.17,174.64,174.92,94537602,ok
2022-01-06,172.7,175.3,171.64,172.0,96903955,ok
2022-01-07,172.89,174.14,171.03,172.17,86709147,ok
2022-01-10,169.08,172.5,168.17,172.19,106765552,ok
2022-01-11,172.32,175.18,170.82,175.08,76138312,ok
2022-01-12,176.12,177.18,174.82,175.53,74805173,ok
2022-01-13,175.78,176.62,171.79,172.19,84505760,ok
2022-01-14,171.34,173.78,171.09,173.07,80440780,ok
2022-01-18,171.51,172.54,169.405,169.8,91168729,ok
2022-01-19,170.0,171.08,165.94,166.23,94814990,ok
2022-01-20,166.98,169.64,166.77,168.96,22006271,ok
