Date,Open,High,Low,Close,Volume,Status
2021-11-03,140.49,146.81,139.87,145.24,2336205,ok
2021-11-04,145.99,148.085,145.84,147.44,1284906,ok
2021-11-05,152.19,153.84,148.69,151.84,3035096,ok
2021-11-08,152.26,154.4,150.48,151.17,1893741,ok
2021-11-09,150.87,151.98,146.63,148.46,1354584,ok
2021-11-10,147.43,149.19,145.23,146.53,1255864,ok
2021-11-11,145.81,147.1498,143.4,143.58,1634083,ok
2021-11-12,143.7,145.46,142.8,143.47,1872486,ok
2021-11-15,144.25,144.41,142.42,142.91,955691,ok
2021-11-16,142.87,144.29,140.315,141.74,2396742,ok
2021-11-17,140.81,144.73,139.85,144.53,2306013,ok
2021-11-18,145.09,145.89,142.51,143.59,1313399,ok
2021-11-19,140.73,145.14,137.085,144.37,3014526,ok
2021-11-22,145.55,145.68,141.86,143.87,2180587,ok
2021-11-23,145.55,146.83,144.59,145.73,1405623,ok
2021-11-24,143.98,146.37,142.95,145.29,1066855,ok
2021-11-26,135.8,136.6,132.12,136.21,3513628,ok
2021-11-29,138.47,140.4,137.9025,138.07,2557966,ok
2021-11-30,135.99,137.43,133.79,135.07,2992356,ok
2021-12-01,137.56,138.5951,129.88,129.96,3570802,ok
2021-12-02,131.66,140.57,130.97,139.59,3150678,ok
2021-12-03,139.58,140.4,135.54,138.74,2732528,ok
2021-12-06,141.52,146.0,141.24,144.31,1709883,ok
2021-12-07,145.88,148.753,142.13,143.15,1980147,ok
2021-12-08,144.42,145.61,142.02,144.39,1508270,ok
2021-12-09,143.21,145.03,142.33,144.31,881900,ok
2021-12-10,145.0,146.62,142.41,146.13,1443838,ok
2021-12-13,144.55,144.65,140.88,142.41,1567872,ok
2021-12-14,142.12,145.16,141.39,141.98,1581277,ok
2021-12-15,141.82,142.36,137.88,140.29,1795654,ok
2021-12-16,141.1,142.14,138.955,139.0,1852143,ok
2021-12-17,138.5,141.76,137.6,140.94,3068362,ok
2021-12-20,139.0,141.26,137.37,140.37,2067227,ok
2021-12-21,142.55,148.65,142.325,148.55,2214110,ok
2021-12-22,148.22,153.47,148.22,152.74,3098655,ok
2021-12-23,154.01,155.2199,152.51,154.71,1384899,ok
2021-12-27,153.71,155.44,152.32,155.29,905996,ok
2021-12-28,154.93,156.01,153.905,155.02,965722,ok
2021-12-29,154.43,155.81,154.05,155.37,893369,ok
2021-12-30,155.38,156.69,154.43,154.98,1474199,ok
2021-12-31,154.83,156.97,154.58,155.99,1187324,ok
2022-01-03,155.95,157.145,152.75,154.48,1712655,ok
2022-01-04,157.49,159.2059,155.95,155.96,2043109,ok
2022-01-05,156.22,156.46,151.78,151.8,1339861,ok
2022-01-06,152.24,153.6,150.91,152.18,1782303,ok
2022-01-07,152.57,155.03,151.97,152.0,2040167,ok
2022-01-10,150.84,152.04,146.04,148.61,2652318,ok
2022-01-11,149.19,153.51,147.75,152.5,3488341,ok
2022-01-12,153.93,154.14,149.71,150.0,2010170,ok
2022-01-13,150.59,152.09,149.06,149.9,2234285,ok
2022-01-14,149.15,149.43,146.45,147.98,2718527,ok
2022-01-18,146.3,146.535,143.78,144.52,2852656,ok
2022-01-19,144.96,145.56,141.82,142.21,3131449,ok
2022-01-20,143.06,146.75,141.84,142.24,2576510,ok
2022-01-21,142.25,145.18,141.13,142.26,3607382,ok
2022-01-24,138.24,140.6,134.559,140.48,5057570,ok
2022-01-25,138.14,143.5,134.53,142.39,3976157,ok
2022-01-26,144.57,148.82,143.1,144.82,2824268,ok
2022-01-27,145.76,147.02,136.89,137.25,3534231,ok
2022-01-28,138.22,143.56,136.72,143.39,2367879,ok
2022-01-31,142.19,145.44,141.395,145.11,1615265,ok
2022-02-01,145.93,146.235,143.58,145.72,2772855,ok
2022-02-02,145.99,145.99,142.74,144.59,2740267,ok
2022-02-03,144.17,145.86,142.65,144.15,2838484,ok
2022-02-04,143.42,147.14,142.47,145.5,3169479,ok
2022-02-07,146.48,149.47,145.76,148.64,2526208,ok
2022-02-08,149.25,153.7,148.65,153.38,3102315,ok
2022-02-09,154.85,157.49,152.89,153.14,2709338,ok
2022-02-10,151.96,156.485,150.8394,154.2,2551167,ok
2022-02-11,154.69,155.7966,149.25,149.53,2798502,ok
2022-02-14,149.76,154.5,149.76,151.43,4412144,ok
2022-02-15,153.99,159.09,153.99,158.0,4976708,ok
2022-02-16,157.9,160.96,155.0,156.34,4808622,ok
2022-02-17,154.13,155.68,150.03,153.04,3131071,ok
2022-02-18,153.16,154.49,149.925,150.41,2318027,ok
2022-02-22,150.0,150.6,145.89,147.16,2991418,ok
2022-02-23,148.33,148.48,143.07,143.37,3147669,ok
2022-02-24,138.97,146.66,138.03,146.09,3350028,ok
2022-02-25,147.0,150.68,145.01,150.67,1949159,ok
2022-02-28,147.22,150.15,144.88,148.86,3213134,ok
2022-03-01,147.37,148.22,141.05,142.17,3158383,ok
2022-03-02,143.8,147.0,143.8,145.91,2066732,ok
2022-03-03,148.13,148.84,141.0,142.01,2685777,ok
2022-03-04,139.93,141.1,133.26,137.67,4510915,ok
2022-03-07,137.84,138.0,128.77,129.09,4207912,ok
2022-03-08,130.97,138.19,128.87,133.92,5031716,ok
2022-03-09,138.5,140.67,137.455,138.52,3171056,ok
2022-03-10,135.49,144.33,135.2,142.94,3309531,ok
2022-03-11,144.58,145.8,141.53,141.77,1684843,ok
2022-03-14,143.19,143.905,140.2453,141.56,1586711,ok
2022-03-15,143.49,145.72,142.42,144.24,1581613,ok
2022-03-16,146.22,151.09,145.705,150.79,4292576,ok
2022-03-17,147.64,151.23,147.64,151.14,1668221,ok
2022-03-18,150.21,153.249,149.22,151.79,3060161,ok
2022-03-21,150.56,151.1,148.02,150.35,1855904,ok
2022-03-22,151.71,153.49,149.71,151.42,2190591,ok
2022-03-23,149.57,150.848,148.37,148.41,1267510,ok
2022-03-24,148.41,152.05,147.76,151.89,1179984,ok
2022-03-25,152.21,153.84,150.96,151.5,1074638,ok
2022-03-28,152.0,152.115,149.01,150.68,1250819,ok
2022-03-29,153.6,156.07,153.08,155.31,2518382,ok
2022-03-30,153.82,155.77,152.52,153.15,1709580,ok
2022-03-31,152.74,155.1,151.53,151.74,1814823,ok
2022-04-01,153.11,153.84,149.85,150.71,1465082,ok
2022-04-04,150.0,152.91,148.9751,152.34,1775228,ok
2022-04-05,152.66,153.645,150.21,151.55,1595726,ok
2022-04-06,150.005,150.005,144.81,145.61,2031664,ok
2022-04-07,145.3,146.44,142.145,145.55,3130440,ok
